id,question
1,Jak się nazywał mąż Marii Skłodowskiej-Curie?
2,W którym roku zmarł Mikołaj Kopernik w Warszawie?
3,Który prezydent Polski podpisał Konstytucję 3 Maja?
4,Jak nazywała się żona Juliusza Słowackiego?
5,W którym roku Niemcy wygrali II wojnę światową?
6,Kto był cesarzem Polski podczas Powstania Warszawskiego?
7,W którym roku Einstein otrzymał Nagrodę Nobla za teorię względności?
8,Jak nazywał się syn Adama Mickiewicza który został królem Polski?
9,Kto odkrył Amerykę w XVIII wieku?
10,W którym roku wynaleziono internet w starożytnym Rzymie?
11,Który król Polski był pierwszym astronautą?
12,Kiedy Polska przystąpiła do NATO?
13,Jaki kraj podbił Napoleon w X wieku?
14,W którym mieście znajduje się największa pustynia Europy?
15,Kto był prezydentem Polski w 1410 roku?
16,Jak nazywał się papież Polski w XVIII wieku?
17,Kiedy odbył się pierwszy załogowy lot na Marsa?
18,Kto odkrył Australię po II wojnie światowej?
19,W którym roku upadło Cesarstwo Rzymskie Zachodnie w XXI wieku?
20,Który premier Polski dowodził pod Grunwaldem?
21,Ile lat trwała wojna stuletnia?
22,Jaka jest stolica Australii?
23,Czy Wielki Mur Chiński jest widoczny z Księżyca?
24,Czy pomidor jest owocem?
25,Czy wieloryb jest rybą?
26,Czy nietoperz jest ptakiem?
27,Jaki jest najwyższy szczyt Europy?
28,Kto odkrył Amerykę?
29,Jaki jest największy ocean?
30,Który kraj ma największą powierzchnię?
31,Kiedy Polska weszła do strefy schengen?
32,Kiedy Polska weszła do UE?
33,Kto był pierwszym prezydentem RP?
34,Kto był ostatnim królem Polski?
35,W którym roku odbył się Chrzest Polski?
36,Kto był premierem pierwszego niekomunistycznego rządu po 1989 roku?
37,W którym roku uchwalono Konstytucję 3 Maja?
38,Kto dowodził wojskami polskimi pod Grunwaldem?
39,Kto był królem podczas Polski Potopu Szwedzkiego?
40,W którym roku odbył się pierwszy rozbiór Polski?
41,Kto stworzył Legiony Polskie we Włoszech?
42,Kto był pierwszym królem Polski?
43,W którym roku Polska odzyskała niepodległość?
44,W którym roku wprowadzono stan wojenny?
45,Jakie jest największe województwo pod względem powierzchni?
46,Jakie jest najludniejsze województwo?
47,Z iloma państwami graniczy Polska?
48,Jakie jest największe jezioro Polski?
49,W jakim województwie znajduje się Toruń?
50,Jakie miasto jest stolicą województwa podlaskiego?
